question_id,selected_schema_with_connections
18,"CREATE TABLE satscores
(
	cds TEXT not null primary key,
	NumTstTakr INTEGER not null, -- `Number of Test Takers` description: Number of Test Takers in this school value description: number of test takers in each school
	foreign key (cds) references schools (CDSCode),
);

CREATE TABLE schools
(
	CDSCode TEXT not null primary key,
	County TEXT not null, -- examples: `Contra Costa`| description: County name
	School TEXT null, -- examples: `Contra Costa Adult`| description: School
	FundingType TEXT null, -- examples: `Directly funded`| description: Indicates the charter school funding type value description: Values are as follows:  ·       Not in CS (California School) funding model  ·       Locally funded  ·       Directly funded
);"
19,"CREATE TABLE schools
(
	CDSCode TEXT not null primary key,
	School TEXT null, -- description: School
	Phone TEXT null, -- description: Phone
);

CREATE TABLE satscores
(
	cds TEXT not null primary key,
	AvgScrMath INTEGER null, -- `average scores in Math` description: average scores in Math value description: average scores in Math
	foreign key (cds) references schools (CDSCode),
);"
2,"CREATE TABLE frpm
(
	CDSCode TEXT not null primary key,
	`District Name` TEXT null, -- examples: `Fresno County Office of Education`
	`Charter School (Y/N)` INTEGER null, -- description: Charter School (Y/N) value description: 0: N; 1: Y
	foreign key (CDSCode) references schools (CDSCode),
);

CREATE TABLE schools
(
	CDSCode TEXT not null primary key,
	County TEXT not null, -- examples: `Fresno`
	Zip TEXT null, --
	Charter INTEGER null, -- description: This field identifies a charter school. value description: The field is coded as follows:  ·       1 = The school is a charter  ·       0 = The school is not a charter
);"
20,"CREATE TABLE frpm
(
	CDSCode TEXT not null primary key,
	`County Name` TEXT null, -- examples: `Amador`
	`Low Grade` TEXT null, -- description: Low Grade
	`High Grade` TEXT null, -- description: High Grade
	foreign key (CDSCode) references schools (CDSCode),
);

CREATE TABLE schools
(
	CDSCode TEXT not null primary key,
	School TEXT null, -- examples: `Amador High`| description: School
);"
21,"CREATE TABLE frpm
(
	CDSCode TEXT not null primary key,
	`County Name` TEXT null, -- examples: `Los Angeles`
	`Free Meal Count (K-12)` REAL null, -- description: Free Meal Count (K-12) value description: eligible free rate = Free Meal Count / Enrollment
	`FRPM Count (K-12)` REAL null, -- description: Free or Reduced Price Meal Count (K-12) value description: eligible FRPM rate = FRPM / Enrollment
	foreign key (CDSCode) references schools (CDSCode),
);

CREATE TABLE schools
(
	CDSCode TEXT not null primary key,
	School TEXT null, -- examples: `MethodSchools`| description: School
);"
22,"CREATE TABLE satscores
(
	cds TEXT not null primary key,
	sname TEXT null, -- `school name` description: school name
	cname TEXT null, -- examples: `Contra Costa`| `county name` description: county name
	NumTstTakr INTEGER not null, -- `Number of Test Takers` description: Number of Test Takers in this school value description: number of test takers in each school
	foreign key (cds) references schools (CDSCode),
);

CREATE TABLE schools
(
	CDSCode TEXT not null primary key,
	School TEXT null, -- examples: `Contra Costa Adult`| description: School
);"
23,"CREATE TABLE frpm
(
	CDSCode TEXT not null primary key,
	`School Name` TEXT null, -- examples: `MethodSchools`
	`Enrollment (K-12)` REAL null, -- description: Enrollment (K-12) value description: K-12: 1st grade - 12nd grade
	`Enrollment (Ages 5-17)` REAL null, -- description: Enrollment (Ages 5-17)
	foreign key (CDSCode) references schools (CDSCode),
);

CREATE TABLE schools
(
	CDSCode TEXT not null primary key,
	School TEXT null, -- examples: `MethodSchools`
	Street TEXT null, --
);"
24,"CREATE TABLE frpm
(
	CDSCode TEXT not null primary key,
	`School Name` TEXT null, -- examples: `MethodSchools`| description: School Name
	`Percent (%) Eligible Free (K-12)` REAL null, --
	foreign key (CDSCode) references schools (CDSCode),
);

CREATE TABLE satscores
(
	cds TEXT not null primary key,
	NumGE1500 INTEGER null, -- `Number of Test Takers Whose Total SAT Scores Are Greater or Equal to 1500` description: Number of Test Takers Whose Total SAT Scores Are Greater or Equal to 1500 value description: Number of Test Takers Whose Total SAT Scores Are Greater or Equal to 1500    Excellence Rate = NumGE1500 / NumTstTakr
	foreign key (cds) references schools (CDSCode),
);

CREATE TABLE schools
(
	CDSCode TEXT not null primary key,
	School TEXT null, -- examples: `MethodSchools`| description: School
);"
25,"CREATE TABLE frpm
(
	CDSCode TEXT not null primary key,
	`County Name` TEXT null, -- examples: `Riverside`
	foreign key (CDSCode) references schools (CDSCode),
);

CREATE TABLE satscores
(
	cds TEXT not null primary key,
	AvgScrMath INTEGER null, -- `average scores in Math` description: average scores in Math value description: average scores in Math
	foreign key (cds) references schools (CDSCode),
);

CREATE TABLE schools
(
	CDSCode TEXT not null primary key,
	School TEXT null, -- examples: `Riverside Adult`
	FundingType TEXT null, -- description: Indicates the charter school funding type value description: Values are as follows:  ·       Not in CS (California School) funding model  ·       Locally funded  ·       Directly funded
);"
26,"CREATE TABLE frpm
(
	CDSCode TEXT not null primary key,
	`County Name` TEXT null, -- examples: `Monterey`
	`School Name` TEXT null, -- examples: `MethodSchools`
	`FRPM Count (Ages 5-17)` REAL null, --
	foreign key (CDSCode) references schools (CDSCode),
);

CREATE TABLE schools
(
	CDSCode TEXT not null primary key,
	School TEXT null, -- examples: `Monterey ROP`
	Street TEXT null, -- examples: `High School Class`
	City TEXT null, -- examples: `Monterey`
	Zip TEXT null, --
	State TEXT null, --
	EILName TEXT null, -- examples: `High School`
);"
27,"CREATE TABLE schools
(
	CDSCode TEXT not null primary key,
	School TEXT null, -- examples: `MethodSchools`
	Phone TEXT null, -- description: Phone
	OpenDate DATE null, -- examples: `2006-08-28`
	ClosedDate DATE null, -- examples: `1989-06-30`| description: The date the school closed.
);

CREATE TABLE satscores
(
	cds TEXT not null primary key,
	AvgScrWrite INTEGER null, -- `average scores in writing` description: average scores in writing value description: average scores in writing
	foreign key (cds) references schools (CDSCode),
);

CREATE TABLE frpm
(
	CDSCode TEXT not null primary key,
	`School Name` TEXT null, -- examples: `MethodSchools`
	foreign key (CDSCode) references schools (CDSCode),
);"
28,"CREATE TABLE frpm
(
	CDSCode TEXT not null primary key,
	`Enrollment (K-12)` REAL null, -- description: Enrollment (K-12) value description: K-12: 1st grade - 12nd grade
	`Enrollment (Ages 5-17)` REAL null, -- description: Enrollment (Ages 5-17)
	foreign key (CDSCode) references schools (CDSCode),
);

CREATE TABLE schools
(
	CDSCode TEXT not null primary key,
	School TEXT null, -- examples: `MethodSchools`
	FundingType TEXT null, -- examples: `Locally funded`
	DOC TEXT not null, -- `District Ownership Code` description: District Ownership Code value description: The District Ownership Code (DOC) is the numeric code used to identify the category of the Administrative Authority. •       00 - County Office of Education •       02 – State Board of Education •       03 – Statewide Benefit Charter •       31 – State Special Schools •       34 – Non-school Location* •       52 – Elementary School District •       54 – Unified School District •       56 – High School District •       98 – Regional Occupational Center/Program (ROC/P)  *Only the California Education Authority has been included in the non-school location category.
	DOCType TEXT not null, --
);"
29,"CREATE TABLE frpm
(
	CDSCode TEXT not null primary key,
	`Enrollment (K-12)` REAL null, -- description: Enrollment (K-12) value description: K-12: 1st grade - 12nd grade
	foreign key (CDSCode) references schools (CDSCode),
);

CREATE TABLE schools
(
	CDSCode TEXT not null primary key,
	School TEXT null, --
	OpenDate DATE null, -- examples: `2011-08-09`| description: The date the school opened.
	GSserved TEXT null, -- examples: `K-12`| `grade span served.` description: It is the lowest grade and the highest grade of student enrollment as reported in the most recent certified CALPADS Fall 1 data collection. Only K–12 enrollment is reported through CALPADS. This field may differ from the grade span offered. value description: 1.     Only K–12 enrollment is reported through CALPADS  2.     Note: Special programs at independent study, alternative education, and special education schools will often exceed the typical grade span for schools of that type
);"
3,"CREATE TABLE frpm
(
	CDSCode TEXT not null primary key,
	`FRPM Count (K-12)` REAL null, -- description: Free or Reduced Price Meal Count (K-12) value description: eligible FRPM rate = FRPM / Enrollment
	foreign key (CDSCode) references schools (CDSCode),
);

CREATE TABLE schools
(
	CDSCode TEXT not null primary key,
	County TEXT not null, --
	School TEXT null, -- description: School
	MailStreet TEXT null, -- description: MailStreet value description: The unabbreviated mailing address of the school, district, or administrative authority. Note: 1) Some entities (primarily closed or retired schools) may not have data in this field; 2) Many active entities have not provided a mailing street address. For your convenience we have filled the unpopulated MailStreet cells with Street data.
);"
30,"CREATE TABLE frpm
(
	CDSCode TEXT not null primary key,
	`Enrollment (K-12)` REAL null, -- description: Enrollment (K-12) value description: K-12: 1st grade - 12nd grade
	foreign key (CDSCode) references schools (CDSCode),
);

CREATE TABLE schools
(
	CDSCode TEXT not null primary key,
	City TEXT null, --
);"
31,"CREATE TABLE frpm
(
	CDSCode TEXT not null primary key,
	`School Name` TEXT null, -- examples: `MethodSchools`
	`Enrollment (K-12)` REAL null, -- description: Enrollment (K-12) value description: K-12: 1st grade - 12nd grade
	`Free Meal Count (K-12)` REAL null, -- description: Free Meal Count (K-12) value description: eligible free rate = Free Meal Count / Enrollment
	foreign key (CDSCode) references schools (CDSCode),
);

CREATE TABLE schools
(
	CDSCode TEXT not null primary key,
	School TEXT null, -- examples: `MethodSchools`
);"
32,"CREATE TABLE frpm
(
	CDSCode TEXT not null primary key,
	`Enrollment (K-12)` REAL null, -- description: Enrollment (K-12) value description: K-12: 1st grade - 12nd grade
	`FRPM Count (K-12)` REAL null, -- description: Free or Reduced Price Meal Count (K-12) value description: eligible FRPM rate = FRPM / Enrollment
	foreign key (CDSCode) references schools (CDSCode),
);

CREATE TABLE schools
(
	CDSCode TEXT not null primary key,
	County TEXT not null, --
	School TEXT null, -- examples: `MethodSchools`
	SOC TEXT null, -- `School Ownership Code` description: The School Ownership Code is a numeric code used to identify the type of school. value description: •      08 - Preschool       •       09 – Special Education Schools (Public) •      11 – Youth Authority Facilities (CEA) •       13 – Opportunity Schools •       14 – Juvenile Court Schools •       15 – Other County or District Programs •       31 – State Special Schools •       60 – Elementary School (Public) •       61 – Elementary School in 1 School District (Public) •       62 – Intermediate/Middle Schools (Public) •       63 – Alternative Schools of Choice •       64 – Junior High Schools (Public) •       65 – K-12 Schools (Public) •       66 – High Schools (Public) •       67 – High Schools in 1 School District (Public) •       68 – Continuation High Schools •       69 – District Community Day Schools •       70 – Adult Education Centers •       98 – Regional Occupational Center/Program (ROC/P)
);"
33,"CREATE TABLE frpm
(
	CDSCode TEXT not null primary key,
	`Free Meal Count (Ages 5-17)` REAL null, -- description: Free Meal Count (Ages 5-17) value description: eligible free rate = Free Meal Count / Enrollment
	foreign key (CDSCode) references schools (CDSCode),
);

CREATE TABLE schools
(
	CDSCode TEXT not null primary key,
	County TEXT not null, --
	School TEXT null, -- examples: `MethodSchools`| description: School
	Website TEXT null, -- description: The website address of the school, district, or administrative authority. value description: The website address of the school, district, or administrative authority.
);"
34,"CREATE TABLE frpm
(
	CDSCode TEXT not null primary key,
	`Enrollment (Ages 5-17)` REAL null, -- description: Enrollment (Ages 5-17)
	`Free Meal Count (Ages 5-17)` REAL null, -- description: Free Meal Count (Ages 5-17) value description: eligible free rate = Free Meal Count / Enrollment
	foreign key (CDSCode) references schools (CDSCode),
);

CREATE TABLE schools
(
	CDSCode TEXT not null primary key,
	County TEXT not null, --
	School TEXT null, --
	AdmFName1 TEXT null, -- examples: `Kacey`
	AdmLName1 TEXT null, -- examples: `Gibson`, `Free`
);"
35,"CREATE TABLE frpm
(
	CDSCode TEXT not null primary key,
	`Charter School (Y/N)` INTEGER null, -- description: Charter School (Y/N) value description: 0: N; 1: Y
	`Enrollment (K-12)` REAL null, -- description: Enrollment (K-12) value description: K-12: 1st grade - 12nd grade
	foreign key (CDSCode) references schools (CDSCode),
);

CREATE TABLE schools
(
	CDSCode TEXT not null primary key,
	School TEXT null, -- examples: `Epic Charter School`
	AdmEmail1 TEXT null, -- `administrator's email address` description: administrator's email address value description: The superintendent’s or principal’s email address.    Only active and pending districts and schools will display administrator information, if applicable.
);"
36,"CREATE TABLE satscores
(
	cds TEXT not null primary key,
	NumGE1500 INTEGER null, -- `Number of Test Takers Whose Total SAT Scores Are Greater or Equal to 1500` description: Number of Test Takers Whose Total SAT Scores Are Greater or Equal to 1500 value description: Number of Test Takers Whose Total SAT Scores Are Greater or Equal to 1500    Excellence Rate = NumGE1500 / NumTstTakr
	foreign key (cds) references schools (CDSCode),
);

CREATE TABLE schools
(
	CDSCode TEXT not null primary key,
	School TEXT null, --
	AdmFName1 TEXT null, -- `administrator's first name` description: administrator's first name value description: The superintendent’s or principal’s first name.    Only active and pending districts and schools will display administrator information, if applicable.
	AdmLName1 TEXT null, -- examples: `Administration`| `administrator's last name` description: administrator's last name value description: The superintendent’s or principal’s last name.   Only active and pending districts and schools will display administrator information, if applicable.
	AdmFName2 TEXT null, --
	AdmLName2 TEXT null, -- examples: `Administrator`
	AdmFName3 TEXT null, --
	AdmLName3 TEXT null, --
);

CREATE TABLE frpm
(
	CDSCode TEXT not null primary key,
	foreign key (CDSCode) references schools (CDSCode),
);"
37,"CREATE TABLE satscores
(
	cds TEXT not null primary key,
	NumTstTakr INTEGER not null, -- `Number of Test Takers` description: Number of Test Takers in this school value description: number of test takers in each school
	NumGE1500 INTEGER null, -- `Number of Test Takers Whose Total SAT Scores Are Greater or Equal to 1500` description: Number of Test Takers Whose Total SAT Scores Are Greater or Equal to 1500 value description: Number of Test Takers Whose Total SAT Scores Are Greater or Equal to 1500    Excellence Rate = NumGE1500 / NumTstTakr
	foreign key (cds) references schools (CDSCode),
);

CREATE TABLE schools
(
	CDSCode TEXT not null primary key,
	Street TEXT null, --
	City TEXT null, --
	Zip TEXT null, --
	State TEXT null, --
);"
38,"CREATE TABLE schools
(
	CDSCode TEXT not null primary key,
	County TEXT not null, -- examples: `Los Angeles`| description: County name
	School TEXT null, -- examples: `Los Angeles County ROP`| description: School
	Website TEXT null, -- description: The website address of the school, district, or administrative authority. value description: The website address of the school, district, or administrative authority.
);

CREATE TABLE satscores
(
	cds TEXT not null primary key,
	NumTstTakr INTEGER not null, -- `Number of Test Takers` description: Number of Test Takers in this school value description: number of test takers in each school
	foreign key (cds) references schools (CDSCode),
);"
39,"CREATE TABLE schools
(
	CDSCode TEXT not null primary key,
	County TEXT not null, -- examples: `Fresno`
	School TEXT null, -- examples: `Fresno ROP`
	OpenDate DATE null, -- examples: `2003-08-28`| description: The date the school opened.
);

CREATE TABLE satscores
(
	cds TEXT not null primary key,
	NumTstTakr INTEGER not null, -- `Number of Test Takers` description: Number of Test Takers in this school value description: number of test takers in each school
	foreign key (cds) references schools (CDSCode),
);"
4,"CREATE TABLE frpm
(
	CDSCode TEXT not null primary key,
	`Charter School (Y/N)` INTEGER null, -- description: Charter School (Y/N) value description: 0: N; 1: Y
	`Charter Funding Type` TEXT null, -- examples: `Directly funded`
	foreign key (CDSCode) references schools (CDSCode),
);

CREATE TABLE schools
(
	CDSCode TEXT not null primary key,
	School TEXT null, -- examples: `Epic Charter School`
	Phone TEXT null, --
	OpenDate DATE null, -- examples: `1997-09-01`
);"
40,"CREATE TABLE frpm
(
	CDSCode TEXT not null primary key,
	`District Name` TEXT null, -- examples: `Fresno Unified`| description: District Name
	`School Name` TEXT null, -- examples: `Fresno High`| description: School Name
	foreign key (CDSCode) references schools (CDSCode),
);

CREATE TABLE satscores
(
	cds TEXT not null primary key,
	sname TEXT null, -- examples: `Fresno High`| `school name` description: school name
	dname TEXT null, -- examples: `Fresno Unified`| `district name` description: district segment
	AvgScrRead INTEGER null, -- `average scores in Reading` description: average scores in Reading value description: average scores in Reading
	foreign key (cds) references schools (CDSCode),
);

CREATE TABLE schools
(
	CDSCode TEXT not null primary key,
	District TEXT not null, -- examples: `Fresno Unified`| description: District
	School TEXT null, -- examples: `Fresno ROP`
	Phone TEXT null, --
);"
41,"CREATE TABLE schools
(
	CDSCode TEXT not null primary key,
	Virtual TEXT null, -- description: This field identifies the type of virtual instruction offered by the school. Virtual instruction is instruction in which students and teachers are separated by time and/or location, and interaction occurs via computers and/or telecommunications technologies. value description: The field is coded as follows:  ·       F = Exclusively Virtual – The school has no physical building where students meet with each other or with teachers, all instruction is virtual.  ·       V = Primarily Virtual – The school focuses on a systematic program of virtual instruction but includes some physical meetings among students or with teachers.  ·       C = Primarily Classroom – The school offers virtual courses but virtual instruction is not the primary means of instruction.  ·       N = Not Virtual – The school does not offer any virtual instruction.  ·       P = Partial Virtual – The school offers some, but not all, instruction through virtual instruction. Note: This value was retired and replaced with the Primarily Virtual and Primarily Classroom values beginning with the 2016–17 school year.
);

CREATE TABLE satscores
(
	cds TEXT not null primary key,
	AvgScrRead INTEGER null, -- `average scores in Reading` description: average scores in Reading value description: average scores in Reading
	foreign key (cds) references schools (CDSCode),
);"
42,"CREATE TABLE schools
(
	CDSCode TEXT not null primary key,
	School TEXT null, -- description: School
	EdOpsName TEXT null, -- `Educational Option Name` description: Educational Option Name value description: The Educational Option Name is the long text description of the type of education being offered.
);

CREATE TABLE satscores
(
	cds TEXT not null primary key,
	AvgScrMath INTEGER null, -- `average scores in Math` description: average scores in Math value description: average scores in Math
	foreign key (cds) references schools (CDSCode),
);"
43,"CREATE TABLE satscores
(
	cds TEXT not null primary key,
	AvgScrRead INTEGER null, -- `average scores in Reading` description: average scores in Reading value description: average scores in Reading
	AvgScrMath INTEGER null, -- `average scores in Math` description: average scores in Math value description: average scores in Math
	AvgScrWrite INTEGER null, -- `average scores in writing` description: average scores in writing value description: average scores in writing
	foreign key (cds) references schools (CDSCode),
);

CREATE TABLE schools
(
	CDSCode TEXT not null primary key,
	County TEXT not null, --
);"
44,"CREATE TABLE satscores
(
	cds TEXT not null primary key,
	AvgScrWrite INTEGER null, -- `average scores in writing` description: average scores in writing value description: average scores in writing
	NumGE1500 INTEGER null, -- `Number of Test Takers Whose Total SAT Scores Are Greater or Equal to 1500` description: Number of Test Takers Whose Total SAT Scores Are Greater or Equal to 1500 value description: Number of Test Takers Whose Total SAT Scores Are Greater or Equal to 1500    Excellence Rate = NumGE1500 / NumTstTakr
	foreign key (cds) references schools (CDSCode),
);

CREATE TABLE schools
(
	CDSCode TEXT not null primary key,
	School TEXT null, -- description: School
	City TEXT null, -- description: City
);"
45,"CREATE TABLE schools
(
	CDSCode TEXT not null primary key,
	School TEXT null, -- examples: `MethodSchools`
	AdmFName1 TEXT null, -- examples: `Ricci`| `administrator's first name` description: administrator's first name value description: The superintendent’s or principal’s first name.    Only active and pending districts and schools will display administrator information, if applicable.
	AdmLName1 TEXT null, -- examples: `Ulrich`| `administrator's last name` description: administrator's last name value description: The superintendent’s or principal’s last name.   Only active and pending districts and schools will display administrator information, if applicable.
);

CREATE TABLE satscores
(
	cds TEXT not null primary key,
	AvgScrWrite INTEGER null, -- `average scores in writing` description: average scores in writing value description: average scores in writing
	foreign key (cds) references schools (CDSCode),
);"
46,"CREATE TABLE frpm
(
	CDSCode TEXT not null primary key,
	`Enrollment (K-12)` REAL null, -- description: Enrollment (K-12) value description: K-12: 1st grade - 12nd grade
	foreign key (CDSCode) references schools (CDSCode),
);

CREATE TABLE schools
(
	CDSCode TEXT not null primary key,
	State TEXT null, --
	DOC TEXT not null, -- `District Ownership Code` description: District Ownership Code value description: The District Ownership Code (DOC) is the numeric code used to identify the category of the Administrative Authority. •       00 - County Office of Education •       02 – State Board of Education •       03 – Statewide Benefit Charter •       31 – State Special Schools •       34 – Non-school Location* •       52 – Elementary School District •       54 – Unified School District •       56 – High School District •       98 – Regional Occupational Center/Program (ROC/P)  *Only the California Education Authority has been included in the non-school location category.
);"
47,"CREATE TABLE schools
(
	CDSCode TEXT not null primary key,
	County TEXT not null, -- examples: `Alameda`
	District TEXT not null, -- examples: `Alameda County Office of Education`
	School TEXT null, -- examples: `Bay Elementary`
	OpenDate DATE null, -- examples: `2006-08-28`
	DOC TEXT not null, -- `District Ownership Code` description: District Ownership Code value description: The District Ownership Code (DOC) is the numeric code used to identify the category of the Administrative Authority. •       00 - County Office of Education •       02 – State Board of Education •       03 – Statewide Benefit Charter •       31 – State Special Schools •       34 – Non-school Location* •       52 – Elementary School District •       54 – Unified School District •       56 – High School District •       98 – Regional Occupational Center/Program (ROC/P)  *Only the California Education Authority has been included in the non-school location category.
	DOCType TEXT not null, --
);"
48,"CREATE TABLE schools
(
	CDSCode TEXT not null primary key,
	StatusType TEXT not null, -- examples: `Merged`
	County TEXT not null, -- examples: `Orange`
	District TEXT not null, -- examples: `ABC Unified`
	School TEXT null, -- examples: `Bay Elementary`
	DOC TEXT not null, -- `District Ownership Code` description: District Ownership Code value description: The District Ownership Code (DOC) is the numeric code used to identify the category of the Administrative Authority. •       00 - County Office of Education •       02 – State Board of Education •       03 – Statewide Benefit Charter •       31 – State Special Schools •       34 – Non-school Location* •       52 – Elementary School District •       54 – Unified School District •       56 – High School District •       98 – Regional Occupational Center/Program (ROC/P)  *Only the California Education Authority has been included in the non-school location category.
);"
49,"CREATE TABLE schools
(
	CDSCode TEXT not null primary key,
	StatusType TEXT not null, -- examples: `Closed`| description: This field identifies the status of the district. value description: Definitions of the valid status types are listed below: ·       Active: The district is in operation and providing instructional services. ·       Closed: The district is not in operation and no longer providing instructional services. ·       Merged: The district has combined with another district or districts. ·       Pending: The district has not opened for operation and instructional services yet, but plans to open within the next 9–12 months.
	County TEXT not null, -- description: County name
	School TEXT null, -- examples: `MethodSchools`
	ClosedDate DATE null, -- examples: `2004-07-01`| description: The date the school closed.
);"
5,"CREATE TABLE satscores
(
	cds TEXT not null primary key,
	AvgScrMath INTEGER null, -- `average scores in Math` description: average scores in Math value description: average scores in Math
	foreign key (cds) references schools (CDSCode),
);

CREATE TABLE schools
(
	CDSCode TEXT not null primary key,
	School TEXT null, -- examples: `Virtual Pre`
	Virtual TEXT null, -- description: This field identifies the type of virtual instruction offered by the school. Virtual instruction is instruction in which students and teachers are separated by time and/or location, and interaction occurs via computers and/or telecommunications technologies. value description: The field is coded as follows:  ·       F = Exclusively Virtual – The school has no physical building where students meet with each other or with teachers, all instruction is virtual.  ·       V = Primarily Virtual – The school focuses on a systematic program of virtual instruction but includes some physical meetings among students or with teachers.  ·       C = Primarily Classroom – The school offers virtual courses but virtual instruction is not the primary means of instruction.  ·       N = Not Virtual – The school does not offer any virtual instruction.  ·       P = Partial Virtual – The school offers some, but not all, instruction through virtual instruction. Note: This value was retired and replaced with the Primarily Virtual and Primarily Classroom values beginning with the 2016–17 school year.
);"
